,Lan chay,Begin,End,Time (s),Fitness,W01 (um),L01 (um),C01 (um)
0,1,23:59:34,23:59:34,0.0,3.063262689416831,2.1005264329075404,0.4,0.7551299928188192
1,2,23:59:34,23:59:34,0.0,3.063262689416831,1.7654670230264793,0.23,1.0
2,3,23:59:34,23:59:34,0.0,2.995467023026479,1.5979373180859486,0.23,1.0
3,4,23:59:34,23:59:34,0.0,2.8279373180859486,1.5141724656156834,0.23,1.0
4,5,23:59:34,23:59:34,0.0,2.7441724656156836,1.4722900393805507,0.23,1.0
5,6,23:59:34,23:59:34,0.0,2.702290039380551,1.4513488262629843,0.23,1.0
6,7,23:59:34,23:59:34,0.0,2.681348826262984,1.4408782197042012,0.23,1.0
7,8,23:59:34,23:59:34,0.0,2.670878219704201,1.4356429164248097,0.23,1.0
8,9,23:59:34,23:59:34,0.0,2.66564291642481,1.4330252647851138,0.23,1.0
9,10,23:59:34,23:59:34,0.0,2.663025264785114,1.431716438965266,0.23,1.0
10,11,23:59:34,23:59:34,0.0,2.661716438965266,1.431062026055342,0.23,1.0
11,12,23:59:34,23:59:34,0.0,2.661062026055342,1.43073481960038,0.23,1.0
12,13,23:59:34,23:59:34,0.0,2.66073481960038,1.430571216372899,0.23,1.0
13,14,23:59:34,23:59:34,0.0,2.660571216372899,1.4304894147591585,0.23,1.0
14,15,23:59:34,23:59:34,0.0,2.6604894147591587,1.4304485139522882,0.23,1.0
15,16,23:59:34,23:59:34,0.0,2.6604485139522884,1.430428063548853,0.23,1.0
16,17,23:59:34,23:59:34,0.0,2.660428063548853,1.4304178383471355,0.23,1.0
17,18,23:59:34,23:59:34,0.0,2.6604178383471355,1.4304127257462769,0.23,1.0
18,19,23:59:34,23:59:34,0.0,2.660412725746277,1.4304101694458475,0.23,1.0
19,20,23:59:34,23:59:34,0.0,2.6604101694458473,1.4304088912956328,0.23,1.0
20,21,23:59:34,23:59:34,0.0,2.6604088912956327,1.4304082522205255,0.23,1.0
21,22,23:59:34,23:59:34,0.0,2.6604082522205257,1.4304079326829717,0.23,1.0
22,23,23:59:34,23:59:34,0.0,2.660407932682972,1.4304077729141949,0.23,1.0
23,24,23:59:34,23:59:34,0.0,2.660407772914195,1.4304076930298064,0.23,1.0
24,25,23:59:34,23:59:34,0.0,2.660407693029806,1.4304076530876122,0.23,1.0
25,26,23:59:34,23:59:34,0.0,2.660407653087612,1.4304076331165152,0.23,1.0
26,27,23:59:34,23:59:34,0.0,2.660407633116515,1.4304076231309666,0.23,1.0
27,28,23:59:34,23:59:34,0.0,2.6604076231309666,1.4304076181381924,0.23,1.0
28,29,23:59:34,23:59:34,0.0,2.6604076181381924,1.4304076156418053,0.23,1.0
29,30,23:59:34,23:59:34,0.0,2.6604076156418053,1.4304076143936117,0.23,1.0
30,31,23:59:34,23:59:34,0.0,2.6604076143936117,1.430407613769515,0.23,1.0
31,32,23:59:34,23:59:34,0.0,2.660407613769515,1.4304076134574666,0.23,1.0
32,33,23:59:34,23:59:34,0.0,2.6604076134574663,1.4304076133014423,0.23,1.0
33,34,23:59:34,23:59:34,0.0,2.6604076133014423,1.4304076132234302,0.23,1.0
34,35,23:59:34,23:59:34,0.0,2.6604076132234304,1.430407613184424,0.23,1.0
35,36,23:59:34,23:59:34,0.0,2.6604076131844243,1.430407613164921,0.23,1.0
36,37,23:59:34,23:59:34,0.0,2.660407613164921,1.4304076131551695,0.23,1.0
